Observation,Team Name,Elo
0,Kingzone DragonX,2700.0
0,MVP,2700.0
0,Hanwha Life Esports,
0,KT Rolster,2700.0
0,Jin Air Green Wings,2700.0
0,Damwon Gaming,
0,ROX Tigers,2700.0
0,Sandbox Gaming,
0,Gen.G,
0,Kongdoo Monster,2700.0
0,BBQ Olivers,2700.0
0,KSV Esports,2700.0
0,SK Telecom T1,2700.0
0,Griffin,
0,Afreeca Freecs,2700.0
1,KSV Esports,2720.0
1,Sandbox Gaming,
1,SK Telecom T1,2700.0
1,MVP,2700.0
1,Kingzone DragonX,2680.0
1,Hanwha Life Esports,
1,KT Rolster,2700.0
1,Jin Air Green Wings,2700.0
1,Damwon Gaming,
1,Griffin,
1,Gen.G,
1,Kongdoo Monster,2700.0
1,ROX Tigers,2700.0
1,BBQ Olivers,2700.0
1,Afreeca Freecs,2700.0
2,Afreeca Freecs,2700.0
2,Sandbox Gaming,
2,SK Telecom T1,2700.0
2,MVP,2700.0
2,BBQ Olivers,2700.0
2,Kingzone DragonX,2662.2924653504915
2,Hanwha Life Esports,
2,KT Rolster,2700.0
2,Griffin,
2,ROX Tigers,2700.0
2,Jin Air Green Wings,2700.0
2,KSV Esports,2737.7075346495085
2,Damwon Gaming,
2,Kongdoo Monster,2700.0
2,Gen.G,
3,ROX Tigers,2700.0
3,KT Rolster,2700.0
3,BBQ Olivers,2700.0
3,Damwon Gaming,
3,SK Telecom T1,2700.0
3,Afreeca Freecs,2700.0
3,KSV Esports,2737.7075346495085
3,Griffin,
3,Hanwha Life Esports,
3,Jin Air Green Wings,2700.0
3,Sandbox Gaming,
3,Gen.G,
3,Kongdoo Monster,2720.0
3,Kingzone DragonX,2662.2924653504915
3,MVP,2680.0
4,Sandbox Gaming,
4,Gen.G,
4,Kongdoo Monster,2737.7075346495085
4,ROX Tigers,2700.0
4,Hanwha Life Esports,
4,BBQ Olivers,2700.0
4,Jin Air Green Wings,2700.0
4,KSV Esports,2737.7075346495085
4,MVP,2662.2924653504915
4,KT Rolster,2700.0
4,Damwon Gaming,
4,SK Telecom T1,2700.0
4,Griffin,
4,Afreeca Freecs,2700.0
4,Kingzone DragonX,2662.2924653504915
5,Afreeca Freecs,2720.0
5,Sandbox Gaming,
5,Gen.G,
5,SK Telecom T1,2700.0
5,Kongdoo Monster,2737.7075346495085
5,Griffin,
5,ROX Tigers,2700.0
5,Hanwha Life Esports,
5,Jin Air Green Wings,2700.0
5,BBQ Olivers,2700.0
5,Kingzone DragonX,2662.2924653504915
5,KT Rolster,2680.0
5,MVP,2662.2924653504915
5,KSV Esports,2737.7075346495085
5,Damwon Gaming,
6,Sandbox Gaming,
6,Damwon Gaming,
6,Afreeca Freecs,2697.7075346495085
6,Gen.G,
6,KT Rolster,2702.2924653504915
6,SK Telecom T1,2700.0
6,Griffin,
6,Kongdoo Monster,2737.7075346495085
6,Kingzone DragonX,2662.2924653504915
6,Hanwha Life Esports,
6,MVP,2662.2924653504915
6,BBQ Olivers,2700.0
6,KSV Esports,2737.7075346495085
6,Jin Air Green Wings,2700.0
6,ROX Tigers,2700.0
7,Kongdoo Monster,2737.7075346495085
7,Kingzone DragonX,2662.2924653504915
7,ROX Tigers,2700.0
7,KSV Esports,2737.7075346495085
7,Afreeca Freecs,2717.9714491567916
7,BBQ Olivers,2700.0
7,Gen.G,
7,SK Telecom T1,2700.0
7,Jin Air Green Wings,2700.0
7,Sandbox Gaming,
7,Griffin,
7,Damwon Gaming,
7,KT Rolster,2682.0285508432084
7,MVP,2662.2924653504915
7,Hanwha Life Esports,
8,Damwon Gaming,
8,Kongdoo Monster,2737.7075346495085
8,MVP,2662.2924653504915
8,Afreeca Freecs,2717.9714491567916
8,KT Rolster,2682.0285508432084
8,Kingzone DragonX,2662.2924653504915
8,Sandbox Gaming,
8,SK Telecom T1,2720.0
8,Jin Air Green Wings,2700.0
8,Gen.G,
8,Griffin,
8,BBQ Olivers,2700.0
8,KSV Esports,2737.7075346495085
8,Hanwha Life Esports,
8,ROX Tigers,2680.0
9,Afreeca Freecs,2717.9714491567916
9,Kingzone DragonX,2662.2924653504915
9,KT Rolster,2682.0285508432084
9,Gen.G,
9,BBQ Olivers,2700.0
9,Sandbox Gaming,
9,MVP,2662.2924653504915
9,SK Telecom T1,2697.7075346495085
9,Kongdoo Monster,2737.7075346495085
9,Hanwha Life Esports,
9,Damwon Gaming,
9,KSV Esports,2737.7075346495085
9,Jin Air Green Wings,2700.0
9,Griffin,
9,ROX Tigers,2702.2924653504915
10,Jin Air Green Wings,2700.0
10,Sandbox Gaming,
10,SK Telecom T1,2717.9714491567916
10,Damwon Gaming,
10,Hanwha Life Esports,
10,Kingzone DragonX,2662.2924653504915
10,Afreeca Freecs,2717.9714491567916
10,BBQ Olivers,2700.0
10,Griffin,
10,Gen.G,
10,Kongdoo Monster,2737.7075346495085
10,ROX Tigers,2682.0285508432084
10,KSV Esports,2737.7075346495085
10,KT Rolster,2682.0285508432084
10,MVP,2662.2924653504915
11,Griffin,
11,Hanwha Life Esports,
11,KSV Esports,2737.7075346495085
11,MVP,2662.2924653504915
11,Damwon Gaming,
11,SK Telecom T1,2717.9714491567916
11,Kingzone DragonX,2662.2924653504915
11,Sandbox Gaming,
11,Kongdoo Monster,2755.5453970695908
11,ROX Tigers,2682.0285508432084
11,KT Rolster,2682.0285508432084
11,Jin Air Green Wings,2700.0
11,Gen.G,
11,Afreeca Freecs,2717.9714491567916
11,BBQ Olivers,2682.1621375799177
12,Sandbox Gaming,
12,KT Rolster,2682.0285508432084
12,Jin Air Green Wings,2700.0
12,BBQ Olivers,2706.3247016734276
12,Afreeca Freecs,2717.9714491567916
12,SK Telecom T1,2717.9714491567916
12,Damwon Gaming,
12,Hanwha Life Esports,
12,Gen.G,
12,KSV Esports,2737.7075346495085
12,MVP,2662.2924653504915
12,ROX Tigers,2682.0285508432084
12,Kingzone DragonX,2662.2924653504915
12,Griffin,
12,Kongdoo Monster,2731.382832976081
13,Sandbox Gaming,
13,Gen.G,
13,Jin Air Green Wings,2700.0
13,KT Rolster,2682.0285508432084
13,BBQ Olivers,2727.7646677516395
13,Damwon Gaming,
13,Hanwha Life Esports,
13,KSV Esports,2737.7075346495085
13,ROX Tigers,2682.0285508432084
13,Griffin,
13,Afreeca Freecs,2717.9714491567916
13,SK Telecom T1,2717.9714491567916
13,MVP,2662.2924653504915
13,Kongdoo Monster,2709.942866897869
13,Kingzone DragonX,2662.2924653504915
14,KT Rolster,2682.0285508432084
14,KSV Esports,2755.5453970695908
14,Kingzone DragonX,2662.2924653504915
14,Griffin,
14,Gen.G,
14,Jin Air Green Wings,2682.1621375799177
14,Sandbox Gaming,
14,SK Telecom T1,2717.9714491567916
14,BBQ Olivers,2727.7646677516395
14,Hanwha Life Esports,
14,Afreeca Freecs,2717.9714491567916
14,Damwon Gaming,
14,ROX Tigers,2682.0285508432084
14,Kongdoo Monster,2709.942866897869
14,MVP,2662.2924653504915
15,Hanwha Life Esports,
15,Damwon Gaming,
15,Jin Air Green Wings,2666.3247016734276
15,Kingzone DragonX,2662.2924653504915
15,KT Rolster,2682.0285508432084
15,MVP,2662.2924653504915
15,KSV Esports,2771.382832976081
15,BBQ Olivers,2727.7646677516395
15,Griffin,
15,Gen.G,
15,Sandbox Gaming,
15,SK Telecom T1,2717.9714491567916
15,Afreeca Freecs,2717.9714491567916
15,Kongdoo Monster,2709.942866897869
15,ROX Tigers,2682.0285508432084
16,Griffin,
16,Gen.G,
16,Jin Air Green Wings,2666.3247016734276
16,MVP,2643.4273453384203
16,KT Rolster,2700.8936708552797
16,Damwon Gaming,
16,Kongdoo Monster,2709.942866897869
16,BBQ Olivers,2727.7646677516395
16,Afreeca Freecs,2717.9714491567916
16,KSV Esports,2771.382832976081
16,ROX Tigers,2682.0285508432084
16,Sandbox Gaming,
16,Kingzone DragonX,2662.2924653504915
16,SK Telecom T1,2717.9714491567916
16,Hanwha Life Esports,
17,BBQ Olivers,2727.7646677516395
17,ROX Tigers,2682.0285508432084
17,Sandbox Gaming,
17,Kingzone DragonX,2662.2924653504915
17,Gen.G,
17,KT Rolster,2717.6154833280416
17,Griffin,
17,KSV Esports,2771.382832976081
17,Jin Air Green Wings,2666.3247016734276
17,Afreeca Freecs,2717.9714491567916
17,Damwon Gaming,
17,Hanwha Life Esports,
17,Kongdoo Monster,2709.942866897869
17,MVP,2626.7055328656584
17,SK Telecom T1,2717.9714491567916
18,Jin Air Green Wings,2649.2760207668807
18,SK Telecom T1,2735.0201300633385
18,Kongdoo Monster,2709.942866897869
18,MVP,2626.7055328656584
18,Sandbox Gaming,
18,Afreeca Freecs,2717.9714491567916
18,Gen.G,
18,Griffin,
18,BBQ Olivers,2727.7646677516395
18,KSV Esports,2771.382832976081
18,ROX Tigers,2682.0285508432084
18,Kingzone DragonX,2662.2924653504915
18,Hanwha Life Esports,
18,KT Rolster,2717.6154833280416
18,Damwon Gaming,
19,Afreeca Freecs,2717.9714491567916
19,Hanwha Life Esports,
19,MVP,2626.7055328656584
19,Kongdoo Monster,2709.942866897869
19,SK Telecom T1,2710.1821269677052
19,KSV Esports,2771.382832976081
19,BBQ Olivers,2727.7646677516395
19,Damwon Gaming,
19,KT Rolster,2717.6154833280416
19,Gen.G,
19,Kingzone DragonX,2662.2924653504915
19,Griffin,
19,Sandbox Gaming,
19,ROX Tigers,2682.0285508432084
19,Jin Air Green Wings,2674.114023862514
20,KSV Esports,2771.382832976081
20,KT Rolster,2717.6154833280416
20,SK Telecom T1,2688.113306614509
20,Kongdoo Monster,2709.942866897869
20,Griffin,
20,Sandbox Gaming,
20,Jin Air Green Wings,2696.1828442157102
20,Afreeca Freecs,2717.9714491567916
20,Hanwha Life Esports,
20,Gen.G,
20,Damwon Gaming,
20,BBQ Olivers,2727.7646677516395
20,MVP,2626.7055328656584
20,Kingzone DragonX,2662.2924653504915
20,ROX Tigers,2682.0285508432084
21,ROX Tigers,2682.0285508432084
21,Griffin,
21,Afreeca Freecs,2694.7934686918566
21,Sandbox Gaming,
21,Kingzone DragonX,2685.4704458154265
21,Hanwha Life Esports,
21,KT Rolster,2717.6154833280416
21,KSV Esports,2771.382832976081
21,Damwon Gaming,
21,Gen.G,
21,Jin Air Green Wings,2696.1828442157102
21,BBQ Olivers,2727.7646677516395
21,SK Telecom T1,2688.113306614509
21,Kongdoo Monster,2709.942866897869
21,MVP,2626.7055328656584
22,Sandbox Gaming,
22,Jin Air Green Wings,2696.1828442157102
22,Kongdoo Monster,2709.942866897869
22,Damwon Gaming,
22,KT Rolster,2717.6154833280416
22,Griffin,
22,SK Telecom T1,2688.113306614509
22,ROX Tigers,2682.0285508432084
22,BBQ Olivers,2727.7646677516395
22,Hanwha Life Esports,
22,KSV Esports,2771.382832976081
22,Gen.G,
22,Afreeca Freecs,2674.2569211292766
22,MVP,2626.7055328656584
22,Kingzone DragonX,2706.0069933780064
23,Hanwha Life Esports,
23,KSV Esports,2771.382832976081
23,KT Rolster,2717.6154833280416
23,Afreeca Freecs,2674.2569211292766
23,Damwon Gaming,
23,Jin Air Green Wings,2696.1828442157102
23,Sandbox Gaming,
23,Kongdoo Monster,2709.942866897869
23,SK Telecom T1,2688.113306614509
23,Griffin,
23,BBQ Olivers,2745.146988254066
23,ROX Tigers,2664.646230340782
23,MVP,2626.7055328656584
23,Gen.G,
23,Kingzone DragonX,2706.0069933780064
24,SK Telecom T1,2688.113306614509
24,Sandbox Gaming,
24,KT Rolster,2717.6154833280416
24,MVP,2626.7055328656584
24,ROX Tigers,2689.199044272585
24,Hanwha Life Esports,
24,Damwon Gaming,
24,KSV Esports,2771.382832976081
24,Jin Air Green Wings,2696.1828442157102
24,Gen.G,
