Observation,Region,Quarter,Year,Team_name,Elo
0,LCS,Spring,2016,Clutch Gaming,
0,LCS,Spring,2016,Flyquest,
0,LCS,Spring,2016,Immortals,2700.0
0,LCS,Spring,2016,OpTic Gaming,
0,LCS,Spring,2016,Team Liquid,2700.0
0,LCS,Spring,2016,Echo Fox,2700.0
0,LCS,Spring,2016,Renegades,2700.0
0,LCS,Spring,2016,EnVyUs,
0,LCS,Spring,2016,100 Thieves,
0,LCS,Spring,2016,Apex,
0,LCS,Spring,2016,Team SoloMid,2700.0
0,LCS,Spring,2016,Cloud9,2700.0
0,LCS,Spring,2016,Golden Guardians,
0,LCS,Spring,2016,NRG Esports,2700.0
0,LCS,Spring,2016,Dignitas,2700.0
0,LCS,Spring,2016,FlyQuest,
0,LCS,Spring,2016,Phoenix1,
0,LCS,Spring,2016,Counter Logic Gaming,2700.0
0,LCS,Spring,2016,Team Impulse,2700.0
1,LCS,Spring,2016,EnVyUs,
1,LCS,Spring,2016,Clutch Gaming,
1,LCS,Spring,2016,FlyQuest,
1,LCS,Spring,2016,Immortals,2700.0
1,LCS,Spring,2016,Team Liquid,2700.0
1,LCS,Spring,2016,Echo Fox,2700.0
1,LCS,Spring,2016,Counter Logic Gaming,2720.0
1,LCS,Spring,2016,Renegades,2700.0
1,LCS,Spring,2016,NRG Esports,2700.0
1,LCS,Spring,2016,Team Impulse,2700.0
1,LCS,Spring,2016,OpTic Gaming,
1,LCS,Spring,2016,Golden Guardians,
1,LCS,Spring,2016,Cloud9,2700.0
1,LCS,Spring,2016,Phoenix1,
1,LCS,Spring,2016,Team SoloMid,2680.0
1,LCS,Spring,2016,Apex,
1,LCS,Spring,2016,Flyquest,
1,LCS,Spring,2016,100 Thieves,
1,LCS,Spring,2016,Dignitas,2700.0
2,LCS,Spring,2016,EnVyUs,
2,LCS,Spring,2016,Phoenix1,
2,LCS,Spring,2016,Echo Fox,2700.0
2,LCS,Spring,2016,Renegades,2700.0
2,LCS,Spring,2016,Team SoloMid,2680.0
2,LCS,Spring,2016,Counter Logic Gaming,2720.0
2,LCS,Spring,2016,Team Impulse,2700.0
2,LCS,Spring,2016,100 Thieves,
2,LCS,Spring,2016,Team Liquid,2700.0
2,LCS,Spring,2016,Cloud9,2680.0
2,LCS,Spring,2016,FlyQuest,
2,LCS,Spring,2016,Clutch Gaming,
2,LCS,Spring,2016,Flyquest,
2,LCS,Spring,2016,Immortals,2720.0
2,LCS,Spring,2016,Apex,
2,LCS,Spring,2016,Dignitas,2700.0
2,LCS,Spring,2016,OpTic Gaming,
2,LCS,Spring,2016,Golden Guardians,
2,LCS,Spring,2016,NRG Esports,2700.0
3,LCS,Spring,2016,Team SoloMid,2680.0
3,LCS,Spring,2016,100 Thieves,
3,LCS,Spring,2016,Flyquest,
3,LCS,Spring,2016,Golden Guardians,
3,LCS,Spring,2016,Phoenix1,
3,LCS,Spring,2016,Apex,
3,LCS,Spring,2016,NRG Esports,2720.0
3,LCS,Spring,2016,Dignitas,2680.0
3,LCS,Spring,2016,Team Impulse,2700.0
3,LCS,Spring,2016,Counter Logic Gaming,2720.0
3,LCS,Spring,2016,Clutch Gaming,
3,LCS,Spring,2016,Cloud9,2680.0
3,LCS,Spring,2016,EnVyUs,
3,LCS,Spring,2016,Team Liquid,2700.0
3,LCS,Spring,2016,Echo Fox,2700.0
3,LCS,Spring,2016,Immortals,2720.0
3,LCS,Spring,2016,Renegades,2700.0
3,LCS,Spring,2016,FlyQuest,
3,LCS,Spring,2016,OpTic Gaming,
4,LCS,Spring,2016,Team Liquid,2680.0
4,LCS,Spring,2016,Phoenix1,
4,LCS,Spring,2016,Counter Logic Gaming,2720.0
4,LCS,Spring,2016,Apex,
4,LCS,Spring,2016,Immortals,2720.0
4,LCS,Spring,2016,Dignitas,2680.0
4,LCS,Spring,2016,Cloud9,2680.0
4,LCS,Spring,2016,Team Impulse,2700.0
4,LCS,Spring,2016,Golden Guardians,
4,LCS,Spring,2016,Flyquest,
4,LCS,Spring,2016,Team SoloMid,2680.0
4,LCS,Spring,2016,Clutch Gaming,
4,LCS,Spring,2016,100 Thieves,
4,LCS,Spring,2016,Echo Fox,2700.0
4,LCS,Spring,2016,Renegades,2720.0
4,LCS,Spring,2016,FlyQuest,
4,LCS,Spring,2016,EnVyUs,
4,LCS,Spring,2016,OpTic Gaming,
4,LCS,Spring,2016,NRG Esports,2720.0
5,LCS,Spring,2016,Dignitas,2680.0
5,LCS,Spring,2016,Team Impulse,2680.0
5,LCS,Spring,2016,Clutch Gaming,
5,LCS,Spring,2016,Flyquest,
5,LCS,Spring,2016,FlyQuest,
5,LCS,Spring,2016,Immortals,2720.0
5,LCS,Spring,2016,Apex,
5,LCS,Spring,2016,Phoenix1,
5,LCS,Spring,2016,Cloud9,2680.0
5,LCS,Spring,2016,Team Liquid,2680.0
5,LCS,Spring,2016,Echo Fox,2720.0
5,LCS,Spring,2016,Golden Guardians,
5,LCS,Spring,2016,Team SoloMid,2680.0
5,LCS,Spring,2016,100 Thieves,
5,LCS,Spring,2016,OpTic Gaming,
5,LCS,Spring,2016,Renegades,2720.0
5,LCS,Spring,2016,EnVyUs,
5,LCS,Spring,2016,NRG Esports,2720.0
5,LCS,Spring,2016,Counter Logic Gaming,2720.0
6,LCS,Spring,2016,Counter Logic Gaming,2720.0
6,LCS,Spring,2016,Echo Fox,2720.0
6,LCS,Spring,2016,100 Thieves,
6,LCS,Spring,2016,Apex,
6,LCS,Spring,2016,Team SoloMid,2680.0
6,LCS,Spring,2016,Immortals,2720.0
6,LCS,Spring,2016,Team Liquid,2680.0
6,LCS,Spring,2016,EnVyUs,
6,LCS,Spring,2016,OpTic Gaming,
6,LCS,Spring,2016,Renegades,2700.0
6,LCS,Spring,2016,Flyquest,
6,LCS,Spring,2016,Dignitas,2680.0
6,LCS,Spring,2016,Golden Guardians,
6,LCS,Spring,2016,FlyQuest,
6,LCS,Spring,2016,NRG Esports,2740.0
6,LCS,Spring,2016,Phoenix1,
6,LCS,Spring,2016,Team Impulse,2680.0
6,LCS,Spring,2016,Clutch Gaming,
6,LCS,Spring,2016,Cloud9,2680.0
7,LCS,Spring,2016,Renegades,2700.0
7,LCS,Spring,2016,OpTic Gaming,
7,LCS,Spring,2016,NRG Esports,2740.0
7,LCS,Spring,2016,Clutch Gaming,
7,LCS,Spring,2016,Apex,
7,LCS,Spring,2016,Counter Logic Gaming,2697.7075346495085
