Team SoloMid | Counter Logic Gaming
Team SoloMid | Counter Logic Gaming
EnVyUs | NRG Esports
NRG Esports | EnVyUs
EnVyUs | NRG Esports
Immortals | Cloud9
Echo Fox | Phoenix1
Cloud9 | Immortals
Echo Fox | Phoenix1
Immortals | Cloud9
Apex | NRG Esports
EnVyUs | Team Liquid
Apex | NRG Esports
EnVyUs | Team Liquid
Team SoloMid | Team Liquid
Apex | Counter Logic Gaming
Team SoloMid | Team Liquid
Counter Logic Gaming | Apex
Immortals | Phoenix1
Apex | Counter Logic Gaming
Immortals | Phoenix1
Echo Fox | Cloud9
Cloud9 | Echo Fox
Cloud9 | Echo Fox
NRG Esports | Immortals
Immortals | NRG Esports
Immortals | NRG Esports
EnVyUs | Apex
Apex | EnVyUs
EnVyUs | Apex
NRG Esports | Echo Fox
Team Liquid | Counter Logic Gaming
Counter Logic Gaming | Team Liquid
NRG Esports | Echo Fox
Counter Logic Gaming | Team Liquid
Team SoloMid | Apex
Cloud9 | Phoenix1
Team SoloMid | Apex
Phoenix1 | Cloud9
Cloud9 | Phoenix1
Team SoloMid | Immortals
EnVyUs | Phoenix1
Immortals | Team SoloMid
EnVyUs | Phoenix1
Team SoloMid | Immortals
Cloud9 | Counter Logic Gaming
Team Liquid | Echo Fox
Cloud9 | Counter Logic Gaming
Team Liquid | Echo Fox
Team SoloMid | Cloud9
Cloud9 | Team SoloMid
Team SoloMid | Cloud9
Team Liquid | Phoenix1
Team Liquid | Phoenix1
Immortals | EnVyUs
Counter Logic Gaming | Echo Fox
Counter Logic Gaming | Echo Fox
Immortals | EnVyUs
Apex | Phoenix1
Team Liquid | NRG Esports
Phoenix1 | Apex
NRG Esports | Team Liquid
Apex | Phoenix1
Team Liquid | NRG Esports
Cloud9 | Apex
Team SoloMid | NRG Esports
Team SoloMid | NRG Esports
Apex | Cloud9
Immortals | Echo Fox
Cloud9 | Apex
Immortals | Echo Fox
Counter Logic Gaming | EnVyUs
EnVyUs | Counter Logic Gaming
EnVyUs | Counter Logic Gaming
Counter Logic Gaming | Immortals
Immortals | Counter Logic Gaming
Immortals | Counter Logic Gaming
Team Liquid | Apex
Team Liquid | Apex
Echo Fox | Team SoloMid
Cloud9 | EnVyUs
Cloud9 | EnVyUs
Team SoloMid | Echo Fox
Immortals | Team Liquid
Team SoloMid | Echo Fox
Immortals | Team Liquid
NRG Esports | Phoenix1
Phoenix1 | NRG Esports
NRG Esports | Phoenix1
Team SoloMid | EnVyUs
Cloud9 | NRG Esports
Cloud9 | NRG Esports
Team SoloMid | EnVyUs
Counter Logic Gaming | Phoenix1
Apex | Echo Fox
Counter Logic Gaming | Phoenix1
Apex | Echo Fox
Cloud9 | Team Liquid
Team Liquid | Cloud9
Team Liquid | Cloud9
Echo Fox | EnVyUs
EnVyUs | Echo Fox
EnVyUs | Echo Fox
Team SoloMid | Phoenix1
Counter Logic Gaming | NRG Esports
Counter Logic Gaming | NRG Esports
Team SoloMid | Phoenix1
Team Liquid | EnVyUs
Immortals | Apex
Immortals | Apex
Team Liquid | EnVyUs
Team SoloMid | Counter Logic Gaming
NRG Esports | Echo Fox
Team SoloMid | Counter Logic Gaming
NRG Esports | Echo Fox
Apex | Phoenix1
Immortals | Cloud9
Phoenix1 | Apex
Immortals | Cloud9
