Phoenix1 | Counter Logic Gaming
Counter Logic Gaming | Phoenix1
Phoenix1 | Flyquest
Counter Logic Gaming | Flyquest
Cloud9 | Phoenix1
Cloud9 | Team SoloMid
Cloud9 | Team SoloMid
Phoenix1 | Echo Fox
Phoenix1 | Echo Fox
Team Liquid | Counter Logic Gaming
Flyquest | EnVyUs
Team Liquid | Counter Logic Gaming
Flyquest | EnVyUs
Echo Fox | Immortals
Immortals | Echo Fox
Immortals | Echo Fox
Dignitas | Phoenix1
Phoenix1 | Dignitas
Dignitas | Phoenix1
Counter Logic Gaming | EnVyUs
Counter Logic Gaming | EnVyUs
Team SoloMid | Immortals
Immortals | Team SoloMid
Team SoloMid | Immortals
Team Liquid | Flyquest
Flyquest | Team Liquid
Flyquest | Team Liquid
Cloud9 | Dignitas
Dignitas | Cloud9
Cloud9 | Dignitas
Flyquest | Counter Logic Gaming
Flyquest | Counter Logic Gaming
Dignitas | Team SoloMid
Team SoloMid | Dignitas
Team SoloMid | Dignitas
Cloud9 | Immortals
Cloud9 | Immortals
Phoenix1 | EnVyUs
Phoenix1 | EnVyUs
Team SoloMid | Team Liquid
Team Liquid | Team SoloMid
Team SoloMid | Team Liquid
Dignitas | Echo Fox
Echo Fox | Dignitas
Echo Fox | Dignitas
Phoenix1 | Team Liquid
Phoenix1 | Team Liquid
Echo Fox | Flyquest
Flyquest | Echo Fox
Echo Fox | Flyquest
EnVyUs | Immortals
Immortals | EnVyUs
Immortals | EnVyUs
Cloud9 | Counter Logic Gaming
Counter Logic Gaming | Cloud9
Cloud9 | Counter Logic Gaming
Phoenix1 | Immortals
Phoenix1 | Immortals
EnVyUs | Team Liquid
EnVyUs | Team Liquid
Counter Logic Gaming | Team SoloMid
Team SoloMid | Counter Logic Gaming
Team SoloMid | Counter Logic Gaming
Flyquest | Dignitas
Flyquest | Dignitas
Echo Fox | Team Liquid
Team Liquid | Echo Fox
Team Liquid | Echo Fox
Cloud9 | EnVyUs
Cloud9 | EnVyUs
Phoenix1 | Team SoloMid
Team SoloMid | Phoenix1
Team SoloMid | Phoenix1
Counter Logic Gaming | Dignitas
Counter Logic Gaming | Dignitas
Flyquest | Immortals
Flyquest | Immortals
Cloud9 | Echo Fox
Cloud9 | Echo Fox
Cloud9 | Team Liquid
Team Liquid | Cloud9
Cloud9 | Team Liquid
Immortals | Dignitas
Immortals | Dignitas
Echo Fox | Counter Logic Gaming
Echo Fox | Counter Logic Gaming
Flyquest | Phoenix1
Flyquest | Phoenix1
Team SoloMid | EnVyUs
Team SoloMid | EnVyUs
Immortals | Team Liquid
Immortals | Team Liquid
Counter Logic Gaming | Phoenix1
Phoenix1 | Counter Logic Gaming
Counter Logic Gaming | Phoenix1
Echo Fox | Team SoloMid
Echo Fox | Team SoloMid
Cloud9 | Flyquest
Flyquest | Cloud9
Cloud9 | Flyquest
Dignitas | EnVyUs
Dignitas | EnVyUs
Dignitas | Flyquest
Dignitas | Flyquest
Phoenix1 | EnVyUs
Phoenix1 | EnVyUs
Counter Logic Gaming | Immortals
Immortals | Counter Logic Gaming
Counter Logic Gaming | Immortals
Team Liquid | Dignitas
Dignitas | Team Liquid
Dignitas | Team Liquid
