SK Gaming | Fnatic
Splyce | Excel Esports
Schalke 04 | Vitality
Misfits | Rogue
G2 Esports | Origen
G2 Esports | Schalke 04
Excel Esports | Rogue
Vitality | Splyce
Misfits | SK Gaming
Origen | Fnatic
Vitality | Fnatic
Splyce | Rogue
G2 Esports | Excel Esports
Schalke 04 | SK Gaming
Misfits | Origen
Schalke 04 | Fnatic
SK Gaming | Excel Esports
G2 Esports | Rogue
Splyce | Origen
Vitality | Misfits
G2 Esports | SK Gaming
Schalke 04 | Splyce
Fnatic | Rogue
Excel Esports | Misfits
Vitality | Origen
G2 Esports | Splyce
Schalke 04 | Excel Esports
Origen | SK Gaming
Vitality | Rogue
Misfits | Fnatic
Schalke 04 | Misfits
Splyce | SK Gaming
Origen | Rogue
Fnatic | Excel Esports
G2 Esports | Vitality
Origen | Schalke 04
SK Gaming | Rogue
Splyce | Misfits
Vitality | Excel Esports
G2 Esports | Fnatic
Fnatic | Splyce
Origen | Excel Esports
SK Gaming | Vitality
Schalke 04 | Rogue
G2 Esports | Misfits
SK Gaming | Fnatic
Splyce | Excel Esports
Vitality | Schalke 04
Rogue | Misfits
Origen | G2 Esports
G2 Esports | Schalke 04
Rogue | Excel Esports
Vitality | Splyce
Misfits | SK Gaming
Fnatic | Origen
G2 Esports | Excel Esports
SK Gaming | Schalke 04
Misfits | Origen
Splyce | Rogue
Fnatic | Vitality
Origen | Splyce
Excel Esports | SK Gaming
Vitality | Misfits
G2 Esports | Rogue
Fnatic | Schalke 04
SK Gaming | G2 Esports
Splyce | Schalke 04
Fnatic | Rogue
Misfits | Excel Esports
Origen | Vitality
Splyce | G2 Esports
Excel Esports | Schalke 04
Origen | SK Gaming
Vitality | Rogue
Fnatic | Misfits
Schalke 04 | Misfits
Fnatic | Excel Esports
Origen | Rogue
G2 Esports | Vitality
Splyce | SK Gaming
Splyce | Misfits
SK Gaming | Rogue
Fnatic | G2 Esports
Excel Esports | Vitality
Origen | Schalke 04
Misfits | G2 Esports
Schalke 04 | Rogue
SK Gaming | Vitality
Origen | Excel Esports
Fnatic | Splyce
SK Gaming | Schalke 04
Fnatic | Vitality
Fnatic | Vitality
Fnatic | Vitality
SK Gaming | Splyce
Splyce | SK Gaming
Splyce | SK Gaming
Splyce | SK Gaming
Fnatic | Splyce
Splyce | Fnatic
Fnatic | Splyce
Fnatic | Splyce
G2 Esports | Origen
G2 Esports | Origen
G2 Esports | Origen
Origen | Fnatic
Origen | Fnatic
Fnatic | Origen
Origen | Fnatic
G2 Esports | Origen
G2 Esports | Origen
G2 Esports | Origen
