G2 Esports | Splyce
Origen | Vitality
Misfits | Rogue
Fnatic | SK Gaming
Schalke 04 | Excel Esports
Rogue | Excel Esports
SK Gaming | Schalke 04
Splyce | Vitality
Fnatic | Misfits
G2 Esports | Origen
Misfits | Excel Esports
Rogue | Vitality
Fnatic | Origen
Schalke 04 | Splyce
G2 Esports | SK Gaming
Splyce | Excel Esports
SK Gaming | Rogue
Origen | Misfits
Fnatic | Schalke 04
G2 Esports | Vitality
Vitality | Excel Esports
Splyce | Rogue
Origen | Schalke 04
SK Gaming | Misfits
Fnatic | G2 Esports
Vitality | SK Gaming
Schalke 04 | Misfits
Splyce | Origen
Fnatic | Excel Esports
G2 Esports | Rogue
Schalke 04 | Rogue
Splyce | SK Gaming
G2 Esports | Misfits
Origen | Excel Esports
Fnatic | Vitality
Excel Esports | SK Gaming
Vitality | Misfits
Rogue | Origen
G2 Esports | Schalke 04
Splyce | Fnatic
G2 Esports | Excel Esports
Rogue | Fnatic
Origen | SK Gaming
Schalke 04 | Excel Esports
Misfits | Rogue
Vitality | Origen
Splyce | Misfits
Schalke 04 | Vitality
Fnatic | SK Gaming
G2 Esports | Splyce
Schalke 04 | SK Gaming
Excel Esports | Rogue
Misfits | Fnatic
Splyce | Vitality
G2 Esports | Origen
Vitality | Rogue
Excel Esports | Misfits
Splyce | Schalke 04
G2 Esports | SK Gaming
Fnatic | Origen
Excel Esports | Splyce
Rogue | SK Gaming
Vitality | G2 Esports
Origen | Misfits
Fnatic | Schalke 04
SK Gaming | Misfits
Vitality | Excel Esports
Splyce | Rogue
Schalke 04 | Origen
G2 Esports | Fnatic
SK Gaming | Vitality
Fnatic | Excel Esports
Splyce | Origen
G2 Esports | Rogue
Splyce | SK Gaming
Rogue | Schalke 04
Origen | Excel Esports
Fnatic | Vitality
Misfits | Vitality
SK Gaming | Excel Esports
Fnatic | Splyce
Rogue | Origen
Schalke 04 | G2 Esports
Misfits | Splyce
SK Gaming | Origen
Schalke 04 | Vitality
G2 Esports | Excel Esports
Fnatic | Rogue
Vitality | SK Gaming
Schalke 04 | Misfits
G2 Esports | Misfits
Rogue | Splyce
Rogue | Splyce
Rogue | Splyce
Schalke 04 | Vitality
Schalke 04 | Vitality
Vitality | Schalke 04
Schalke 04 | Vitality
Rogue | Schalke 04
Schalke 04 | Rogue
Schalke 04 | Rogue
Schalke 04 | Rogue
Fnatic | G2 Esports
Fnatic | G2 Esports
G2 Esports | Fnatic
G2 Esports | Fnatic
G2 Esports | Fnatic
Fnatic | Schalke 04
Fnatic | Schalke 04
Fnatic | Schalke 04
Fnatic | G2 Esports
G2 Esports | Fnatic
Fnatic | G2 Esports
G2 Esports | Fnatic
G2 Esports | Fnatic
Origen | Splyce
Splyce | Origen
Splyce | Origen
Origen | Splyce
Splyce | Origen
Splyce | Schalke 04
Splyce | Schalke 04
Splyce | Schalke 04
Fnatic | Splyce
Fnatic | Splyce
Fnatic | Splyce
