Samsung Galaxy | J Team
OMG | MVP
Samsung Galaxy | EDward Gaming
Machi 17 | OMG
Royal Never Give Up | AHQ e-Sports Club
SK Telecom T1 | Flash Wolves
MVP | Machi 17
KT Rolster | Royal Never Give Up
J Team | EDward Gaming
Flash Wolves | Team WE
AHQ e-Sports Club | KT Rolster
SK Telecom T1 | Team WE
Team WE | J Team
Flash Wolves | OMG
AHQ e-Sports Club | EDward Gaming
Team WE | Flash Wolves
Royal Never Give Up | Machi 17
EDward Gaming | Samsung Galaxy
Team WE | SK Telecom T1
KT Rolster | OMG
Royal Never Give Up | MVP
