Team SoloMid | G2 Esports
Fnatic | Phoenix1
G2 Esports | Cloud9
Phoenix1 | Unicorns of Love
Cloud9 | Fnatic
Team SoloMid | Unicorns of Love
Unicorns of Love | Cloud9
Phoenix1 | G2 Esports
Team SoloMid | Fnatic
Cloud9 | G2 Esports
Fnatic | Phoenix1
Unicorns of Love | Team SoloMid
Phoenix1 | G2 Esports
Unicorns of Love | Cloud9
Team SoloMid | Fnatic
Phoenix1 | Unicorns of Love
Cloud9 | Fnatic
Team SoloMid | G2 Esports
Team SoloMid | Unicorns of Love
Team SoloMid | Unicorns of Love
Team SoloMid | Unicorns of Love
