Counter Logic Gaming | G2 Esports
ROX Tigers | Albus NoX Luna
AHQ e-Sports Club | H2K
INTZ | EDward Gaming
Samsung Galaxy | Splyce
Royal Never Give Up | Team SoloMid
SK Telecom T1 | Cloud9
I MAY | Flash Wolves
Team SoloMid | Samsung Galaxy
Royal Never Give Up | Splyce
H2K | INTZ
EDward Gaming | AHQ e-Sports Club
Albus NoX Luna | Counter Logic Gaming
ROX Tigers | G2 Esports
Cloud9 | Flash Wolves
SK Telecom T1 | I MAY
Team SoloMid | Splyce
Samsung Galaxy | Royal Never Give Up
AHQ e-Sports Club | INTZ
EDward Gaming | H2K
Albus NoX Luna | G2 Esports
Counter Logic Gaming | ROX Tigers
Flash Wolves | SK Telecom T1
Cloud9 | I MAY
ROX Tigers | G2 Esports
Albus NoX Luna | Counter Logic Gaming
Counter Logic Gaming | G2 Esports
Albus NoX Luna | ROX Tigers
G2 Esports | Albus NoX Luna
ROX Tigers | Counter Logic Gaming
ROX Tigers | Albus NoX Luna
EDward Gaming | INTZ
H2K | AHQ e-Sports Club
H2K | EDward Gaming
AHQ e-Sports Club | INTZ
H2K | INTZ
EDward Gaming | AHQ e-Sports Club
H2K | EDward Gaming
Samsung Galaxy | Team SoloMid
Splyce | Royal Never Give Up
Team SoloMid | Splyce
Samsung Galaxy | Royal Never Give Up
Samsung Galaxy | Splyce
Royal Never Give Up | Team SoloMid
I MAY | Flash Wolves
SK Telecom T1 | Cloud9
Flash Wolves | Cloud9
SK Telecom T1 | I MAY
Cloud9 | I MAY
SK Telecom T1 | Flash Wolves
Samsung Galaxy | Cloud9
Samsung Galaxy | Cloud9
Samsung Galaxy | Cloud9
Royal Never Give Up | SK Telecom T1
SK Telecom T1 | Royal Never Give Up
SK Telecom T1 | Royal Never Give Up
SK Telecom T1 | Royal Never Give Up
ROX Tigers | EDward Gaming
ROX Tigers | EDward Gaming
EDward Gaming | ROX Tigers
ROX Tigers | EDward Gaming
H2K | Albus NoX Luna
H2K | Albus NoX Luna
H2K | Albus NoX Luna
SK Telecom T1 | ROX Tigers
ROX Tigers | SK Telecom T1
ROX Tigers | SK Telecom T1
SK Telecom T1 | ROX Tigers
SK Telecom T1 | ROX Tigers
Samsung Galaxy | H2K
Samsung Galaxy | H2K
Samsung Galaxy | H2K
SK Telecom T1 | Samsung Galaxy
SK Telecom T1 | Samsung Galaxy
Samsung Galaxy | SK Telecom T1
Samsung Galaxy | SK Telecom T1
SK Telecom T1 | Samsung Galaxy
